day,ideal_coverage_percent,productivity_90_percent,productivity_75_percent
11.208333,0.000399199948135,0.000399199948135,0.000399199948135
11.250000,0.000404708995076,0.000404708995076,0.000404708995076
11.291667,0.000410294068075,0.000410294068075,0.000410294068075
11.333333,0.000415956216307,0.000415956216307,0.000415956216307
11.375000,0.000421696503429,0.000421696503429,0.000421696503429
11.416667,0.000427516007773,0.000427516007773,0.000427516007773
11.458333,0.000433415822555,0.000433415822555,0.000433415822555
11.500000,0.000439397056076,0.000439397056076,0.000439397056076
11.541667,0.000445460831933,0.000445460831933,0.000445460831933
11.583333,0.000451608289229,0.000451608289229,0.000451608289229
11.625000,0.000457840582785,0.000457840582785,0.000457840582785
11.666667,0.000464158883361,0.000464158883361,0.000464158883361
11.708333,0.000470564377872,0.000470564377872,0.000470564377872
11.750000,0.000477058269614,0.000477058269614,0.000477058269614
11.791667,0.000483641778488,0.000483641778488,0.000483641778488
11.833333,0.00049031614123,0.00049031614123,0.00049031614123
11.875000,0.000497082611644,0.000497082611644,0.000497082611644
11.916667,0.000503942460835,0.000503942460835,0.000503942460835
11.958333,0.000510896977451,0.000510896977451,0.000510896977451
12.000000,0.000517947467923,0.000517947467923,0.000517947467923
12.041667,0.000525095256712,0.000525095256712,0.000525095256712
12.083333,0.000532341686556,0.000532341686556,0.000532341686556
12.125000,0.000539688118723,0.000539688118723,0.000539688118723
12.166667,0.000547135933267,0.000547135933267,0.000547135933267
12.208333,0.000554686529287,0.000554686529287,0.000554686529287
12.250000,0.00056234132519,0.00056234132519,0.00056234132519
12.291667,0.000570101758958,0.000570101758958,0.000570101758958
12.333333,0.000577969288415,0.000577969288415,0.000577969288415
12.375000,0.000585945391507,0.000585945391507,0.000585945391507
12.416667,0.000594031566573,0.000594031566573,0.000594031566573
12.458333,0.00060222933263,0.00060222933263,0.00060222933263
12.500000,0.000610540229659,0.000610540229659,0.000610540229659
12.541667,0.000618965818891,0.000618965818891,0.000618965818891
12.583333,0.000627507683106,0.000627507683106,0.000627507683106
12.625000,0.000636167426922,0.000636167426922,0.000636167426922
12.666667,0.000644946677104,0.000644946677104,0.000644946677104
12.708333,0.000653847082866,0.000653847082866,0.000653847082866
12.750000,0.000662870316183,0.000662870316183,0.000662870316183
12.791667,0.0006720180721,0.0006720180721,0.0006720180721
12.833333,0.000681292069058,0.000681292069058,0.000681292069058
12.875000,0.00069069404921,0.00069069404921,0.00069069404921
12.916667,0.000700225778753,0.000700225778753,0.000700225778753
12.958333,0.000709889048257,0.000709889048257,0.000709889048257
13.000000,0.000719685673001,0.000719685673001,0.000719685673001
13.041667,0.000729617493318,0.000729617493318,0.000729617493318
13.083333,0.000739686374937,0.000739686374937,0.000739686374937
13.125000,0.000749894209332,0.000749894209332,0.000749894209332
13.166667,0.000760242914084,0.000760242914084,0.000760242914084
13.208333,0.000770734433234,0.000770734433234,0.000770734433234
13.250000,0.000781370737652,0.000781370737652,0.000781370737652
13.291667,0.000792153825406,0.000792153825406,0.000792153825406
13.333333,0.000803085722139,0.000803085722139,0.000803085722139
13.375000,0.000814168481448,0.000814168481448,0.000814168481448
13.416667,0.000825404185268,0.000825404185268,0.000825404185268
13.458333,0.000836794944268,0.000836794944268,0.000836794944268
13.500000,0.000848342898244,0.000848342898244,0.000848342898244
13.541667,0.00086005021652,0.00086005021652,0.00086005021652
13.583333,0.00087191909836,0.00087191909836,0.00087191909836
13.625000,0.000883951773374,0.000883951773374,0.000883951773374
13.666667,0.000896150501947,0.000896150501947,0.000896150501947
13.708333,0.000908517575652,0.000908517575652,0.000908517575652
13.750000,0.000921055317689,0.000921055317689,0.000921055317689
13.791667,0.00093376608332,0.00093376608332,0.00093376608332
13.833333,0.000946652260308,0.000946652260308,0.000946652260308
13.875000,0.000959716269368,0.000959716269368,0.000959716269368
13.916667,0.000972960564621,0.000972960564621,0.000972960564621
13.958333,0.000986387634057,0.000986387634057,0.000986387634057
14.000000,0.001,0.001,0.001
14.041667,0.00101380021958,0.00101380021958,0.00101380021958
14.083333,0.00102779088522,0.00102779088522,0.00102779088522
14.125000,0.00104197462512,0.00104197462512,0.00104197462512
14.166667,0.00105635410375,0.00105635410375,0.00105635410375
14.208333,0.00107093202234,0.00107093202234,0.00107093202234
14.250000,0.0010857111194,0.0010857111194,0.0010857111194
14.291667,0.00110069417125,0.00110069417125,0.00110069417125
14.333333,0.00111588399251,0.00111588399251,0.00111588399251
14.375000,0.00113128343663,0.00113128343663,0.00113128343663
14.416667,0.00114689539647,0.00114689539647,0.00114689539647
14.458333,0.00116272280478,0.00116272280478,0.00116272280478
14.500000,0.00117876863479,0.00117876863479,0.00117876863479
14.541667,0.00119503590079,0.00119503590079,0.00119503590079
14.583333,0.00121152765863,0.00121152765863,0.00121152765863
14.625000,0.00122824700635,0.00122824700635,0.00122824700635
14.666667,0.00124519708474,0.00124519708474,0.00124519708474
14.708333,0.00126238107793,0.00126238107793,0.00126238107793
14.750000,0.001279802214,0.001279802214,0.001279802214
14.791667,0.00129746376557,0.00129746376557,0.00129746376557
14.833333,0.00131536905044,0.00131536905044,0.00131536905044
14.875000,0.00133352143216,0.00133352143216,0.00133352143216
14.916667,0.00135192432074,0.00135192432074,0.00135192432074
14.958333,0.00137058117323,0.00137058117323,0.00137058117323
15.000000,0.00138949549437,0.00138949549437,0.00138949549437
15.041667,0.0014086708373,0.0014086708373,0.0014086708373
15.083333,0.00142811080418,0.00142811080418,0.00142811080418
15.125000,0.00144781904686,0.00144781904686,0.00144781904686
15.166667,0.00146779926762,0.00146779926762,0.00146779926762
15.208333,0.00148805521982,0.00148805521982,0.00148805521982
15.250000,0.0015085907086,0.0015085907086,0.0015085907086
15.291667,0.00152940959164,0.00152940959164,0.00152940959164
15.333333,0.00155051577983,0.00155051577983,0.00155051577983
15.375000,0.00157191323806,0.00157191323806,0.00157191323806
15.416667,0.00159360598591,0.00159360598591,0.00159360598591
